ID,smiles,CREATION_DATE,Series,CAN_SMILES
H3D-000001,CCCCN(C)c1c(nc2c(cccn12)OCC1CCCCC1)C,2018/02/26,SFG16,CCCCN(C)c1c(C)nc2c(OCC3CCCCC3)cccn12
H3D-003207,COCCC(=O)N1CCN(CC1)c1nc(nc2c1CCCC2)NCCc1ccccc1,2018/02/26,THQ,COCCC(=O)N1CCN(c2nc(NCCc3ccccc3)nc3c2CCCC3)CC1
H3D-003206,Cc1cc(n(n1)C1=NC(=CC(=O)N1)C(F)(F)F)C,2018/02/26,TBMMV57,Cc1cc(C)n(-c2nc(C(F)(F)F)cc(=O)[nH]2)n1
H3D-003205,NC(=O)c1ccc(cc1)-c1cc(nc(n1)NCc1ccc(c(c1)Cl)Cl)N1CCCC1,2018/02/26,THQ,NC(=O)c1ccc(-c2cc(N3CCCC3)nc(NCc3ccc(Cl)c(Cl)c3)n2)cc1
H3D-003204,C1CCN(C1)c1cc(nc(n1)NCCc1ccccc1)C1CCNCC1,2018/02/26,THQ,c1ccc(CCNc2nc(C3CCNCC3)cc(N3CCCC3)n2)cc1
H3D-003203,N#Cc1cccc(c1)CNc1nc2c(c(n1)N1CCCC1)CCCC2,2018/02/26,THQ,N#Cc1cccc(CNc2nc3c(c(N4CCCC4)n2)CCCC3)c1
H3D-003202,C1CCN(C1)c1nc(nc2c1CCCC2)NCc1nccs1,2018/02/26,THQ,c1csc(CNc2nc3c(c(N4CCCC4)n2)CCCC3)n1
H3D-003201,OC(=O)c1ccccc1NC(=O)C1CCCN(C1)Cc1ccc(cc1)F,2018/02/26,AMI,O=C(O)c1ccccc1NC(=O)C1CCCN(Cc2ccc(F)cc2)C1
H3D-003200,OC(=O)c1ccccc1NC(=O)C1CCN(C1)Cc1ccc(cc1)F,2018/02/26,AMI,O=C(O)c1ccccc1NC(=O)C1CCN(Cc2ccc(F)cc2)C1
H3D-003199,COC(=O)c1ccc(nn1)Oc1ccc(cc1F)C(F)(F)F,2018/02/26,GSK12,COC(=O)c1ccc(Oc2ccc(C(F)(F)F)cc2F)nn1
H3D-003198,COC(=O)c1ccc(nn1)Oc1ccc(c(c1)F)-c1csc(n1)C,2018/02/26,GSK12,COC(=O)c1ccc(Oc2ccc(-c3csc(C)n3)c(F)c2)nn1
H3D-003197,COC(=O)c1ccc(nc1)Oc1ccc(cc1F)-c1csc(n1)C,2018/02/26,GSK12,COC(=O)c1ccc(Oc2ccc(-c3csc(C)n3)cc2F)nc1
H3D-003196,Cc1ccc(nn1)Oc1ccc(cc1F)-c1csc(n1)C,2018/02/26,GSK12,Cc1ccc(Oc2ccc(-c3csc(C)n3)cc2F)nn1
H3D-003195,Cc1nc(cs1)-c1ccc(c(c1)F)Oc1ccc(nn1)C#N,2018/02/26,GSK12,Cc1nc(-c2ccc(Oc3ccc(C#N)nn3)c(F)c2)cs1
H3D-003194,Cc1noc(n1)-c1ccc(nn1)Oc1ccc(cc1F)-c1csc(n1)C,2018/02/26,GSK12,Cc1noc(-c2ccc(Oc3ccc(-c4csc(C)n4)cc3F)nn2)n1
H3D-003193,CN(C)C(=O)c1ccc(nn1)Oc1ccc(cc1F)-c1csc(n1)C,2018/02/26,GSK12,Cc1nc(-c2ccc(Oc3ccc(C(=O)N(C)C)nn3)c(F)c2)cs1
H3D-003208,Cc1cc(n(n1)C1=NC(=CC(=O)N1)C(=O)O)C,2018/02/26,TBMMV57,Cc1cc(C)n(-c2nc(C(=O)O)cc(=O)[nH]2)n1
H3D-003209,OC(=O)c1ccccc1NC(=O)CN1CCN(CC1)c1ccncc1,2018/02/26,AMI,O=C(CN1CCN(c2ccncc2)CC1)Nc1ccccc1C(=O)O
H3D-003210,OC1CCN(C(=O)CNc2ccc(cc2)Br)c2ccccc21,2018/02/26,AMI,O=C(CNc1ccc(Br)cc1)N1CCC(O)c2ccccc21
H3D-003211,Cc1cc(n(n1)C1=NC(=CC(=O)N1)C(=O)Nc1ccncc1)C,2018/02/26,TBMMV57,Cc1cc(C)n(-c2nc(C(=O)Nc3ccncc3)cc(=O)[nH]2)n1
H3D-003227,Cc1cc(n(n1)C1=NC(=CC(=O)N1)N1CCN(CC1)C(=O)c1ccccc1)C,2018/02/26,TBMMV57,Cc1cc(C)n(-c2nc(N3CCN(C(=O)c4ccccc4)CC3)cc(=O)[nH]2)n1
H3D-003226,CC1=CC(=O)NC(=N1)n1nc(cc1C)-c1ccccc1,2018/02/26,TBMMV57,Cc1cc(=O)[nH]c(-n2nc(-c3ccccc3)cc2C)n1
H3D-003225,Cc1nc(n(n1)C1=NC(=CC(=O)N1)c1ccccc1)C,2018/02/26,TBMMV57,Cc1nc(C)n(-c2nc(-c3ccccc3)cc(=O)[nH]2)n1
H3D-003224,Oc1nc(cc(n1)-n1cccn1)-c1ccccc1,2018/02/26,TBMMV57,Oc1nc(-c2ccccc2)cc(-n2cccn2)n1
H3D-003223,O=C1NC(=NC(=C1)c1ccccc1)n1cccn1,2018/02/26,TBMMV57,O=c1cc(-c2ccccc2)nc(-n2cccn2)[nH]1
H3D-003222,CN(CCO)c1cc(nc(n1)NCc1ccc2c(c1)OCO2)-c1ccccc1,2018/02/26,THQ,CN(CCO)c1cc(-c2ccccc2)nc(NCc2ccc3c(c2)OCO3)n1
H3D-003221,CN(CCO)c1cc(nc(n1)NCc1ccc(cc1)Cl)-c1ccc(cc1)C#N,2018/02/26,THQ,CN(CCO)c1cc(-c2ccc(C#N)cc2)nc(NCc2ccc(Cl)cc2)n1
H3D-003192,COC(=O)c1ccc(nn1)Oc1ccc(cc1F)C,2018/02/26,GSK12,COC(=O)c1ccc(Oc2ccc(C)cc2F)nn1
H3D-003220,Cc1cncc(c1)CNc1nc(cc(n1)-c1ccc(cc1)C#N)N1CCCC1,2018/02/26,THQ,Cc1cncc(CNc2nc(-c3ccc(C#N)cc3)cc(N3CCCC3)n2)c1
H3D-003218,CN(CCO)c1cc(nc(n1)NCc1ccc(c(c1)Cl)Cl)-c1ccc(cc1)C#N,2018/02/26,THQ,CN(CCO)c1cc(-c2ccc(C#N)cc2)nc(NCc2ccc(Cl)c(Cl)c2)n1
H3D-003217,Fc1ccc(cc1C(F)(F)F)-c1nc2cnc(cc2[nH]1)Nc1cc(ccn1)C(=O)N1CCNCC1,2018/02/26,SFK59,O=C(c1ccnc(Nc2cc3[nH]c(-c4ccc(F)c(C(F)(F)F)c4)nc3cn2)c1)N1CCNCC1
H3D-003216,CN(C)C(=O)C1=CC(=O)NC(=N1)n1nc(cc1C)C,2018/02/26,TBMMV57,Cc1cc(C)n(-c2nc(C(=O)N(C)C)cc(=O)[nH]2)n1
H3D-003215,NCCCOc1ccnc(c1)Nc1cc2[nH]c(nc2cn1)-c1ccc(c(c1)C(F)(F)F)F,2018/02/26,SFK59,NCCCOc1ccnc(Nc2cc3[nH]c(-c4ccc(F)c(C(F)(F)F)c4)nc3cn2)c1
H3D-003214,Cc1cc(n(n1)C1=NC(=CC(=O)N1)C(=O)NC1CCCCC1)C,2018/02/26,TBMMV57,Cc1cc(C)n(-c2nc(C(=O)NC3CCCCC3)cc(=O)[nH]2)n1
H3D-003213,OC(=O)c1ccccc1NC(=O)CNC1CCc2ccccc2C1,2018/02/26,AMI,O=C(CNC1CCc2ccccc2C1)Nc1ccccc1C(=O)O
H3D-003212,OC(=O)c1ccccc1NC(=O)CNC1CCc2ccccc21,2018/02/26,AMI,O=C(CNC1CCc2ccccc21)Nc1ccccc1C(=O)O
H3D-003219,CN(C)CCC(=O)N1CCN(CC1)c1nc(nc2c1CCCC2)NCCc1ccccc1,2018/02/26,THQ,CN(C)CCC(=O)N1CCN(c2nc(NCCc3ccccc3)nc3c2CCCC3)CC1
H3D-003228,NS(=O)(=O)c1cccc(c1)-c1ccc2nccc(c2n1)-c1ccc(cc1)C(F)(F)F,2018/02/26,Compound III,NS(=O)(=O)c1cccc(-c2ccc3nccc(-c4ccc(C(F)(F)F)cc4)c3n2)c1
H3D-003191,COC(=O)c1ccc(nn1)Oc1ccc(cc1)C(F)(F)F,2018/02/26,GSK12,COC(=O)c1ccc(Oc2ccc(C(F)(F)F)cc2)nn1
H3D-003189,COC(=O)c1ccc(nn1)Oc1ccc2sc(nc2c1)C,2018/02/26,GSK12,COC(=O)c1ccc(Oc2ccc3sc(C)nc3c2)nn1
H3D-003168,OC(=O)c1ccccc1NC(=O)c1ccc(cc1)Br,2018/02/26,AMI,O=C(Nc1ccccc1C(=O)O)c1ccc(Br)cc1
H3D-003167,OC(=O)c1ccccc1NC(=O)c1ccc(cc1)-c1ccc(cc1)Cl,2018/02/26,AMI,O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccc(Cl)cc2)cc1
H3D-003166,CCOC(=O)c1ccccc1NC(=O)CNc1ccc(cc1)Br,2018/02/26,AMI,CCOC(=O)c1ccccc1NC(=O)CNc1ccc(Br)cc1
H3D-003165,Clc1ccc(cc1)-c1nn(cc1CCC1=NNC(=O)O1)-c1ccc(cc1)Br,2018/02/26,TBDup8,O=c1[nH]nc(CCc2cn(-c3ccc(Br)cc3)nc2-c2ccc(Cl)cc2)o1
H3D-003164,Clc1ccc(cc1)-c1nn(cc1CCc1nnn[nH]1)-c1ccc(cc1)Br,2018/02/26,TBDup8,Clc1ccc(-c2nn(-c3ccc(Br)cc3)cc2CCc2nnn[nH]2)cc1
H3D-003163,Clc1ccc(cc1)-c1nn(cc1CCC1=NOC(=O)N1)-c1ccc(cc1)Br,2018/02/26,TBDup8,O=c1[nH]c(CCc2cn(-c3ccc(Br)cc3)nc2-c2ccc(Cl)cc2)no1
H3D-003162,CS(=O)(=O)NC(=O)CCc1cn(nc1-c1ccc(cc1)Cl)-c1ccc(cc1)Cl,2018/02/26,TBDup8,CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Cl)cc2)nc1-c1ccc(Cl)cc1
H3D-003161,CC(=O)NS(=O)(=O)CCc1cn(nc1-c1ccc(cc1)Cl)-c1ccc(cc1)Br,2018/02/26,TBDup8,CC(=O)NS(=O)(=O)CCc1cn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1
H3D-003160,CS(=O)(=O)NC(=O)CCc1cn(nc1-c1ccc(cc1)Cl)-c1ccncc1,2018/02/26,TBDup8,CS(=O)(=O)NC(=O)CCc1cn(-c2ccncc2)nc1-c1ccc(Cl)cc1
H3D-003159,CS(=O)(=O)NC(=O)CCc1cn(nc1-c1ccncc1)-c1ccc(cc1)Br,2018/02/26,TBDup8,CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1-c1ccncc1
H3D-003158,CS(=O)(=O)NC(=O)CCCc1cn(nc1-c1ccc(cc1)Cl)-c1ccc(cc1)Br,2018/02/26,TBDup8,CS(=O)(=O)NC(=O)CCCc1cn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1
H3D-003157,CS(=O)(=O)NC(=O)CCc1nn(cc1-c1ccc(cc1)Cl)-c1ccc(cc1)Br,2018/02/26,TBDup8,CS(=O)(=O)NC(=O)CCc1nn(-c2ccc(Br)cc2)cc1-c1ccc(Cl)cc1
H3D-003156,CS(=O)(=O)NC(=O)CCc1cc(n(n1)-c1ccc(cc1)Cl)-c1ccc(cc1)Br,2018/02/26,TBDup8,CS(=O)(=O)NC(=O)CCc1cc(-c2ccc(Br)cc2)n(-c2ccc(Cl)cc2)n1
H3D-003155,FC(F)(F)c1cc(nc(n1)NCCc1ccccc1)N1CCCC1,2018/02/26,THQ,FC(F)(F)c1cc(N2CCCC2)nc(NCCc2ccccc2)n1
H3D-003154,CN(C(=O)C1=CC(=O)NC(=N1)n1nc(cc1C)C)c1ccc(cc1)F,2018/02/26,TBMMV57,Cc1cc(C)n(-c2nc(C(=O)N(C)c3ccc(F)cc3)cc(=O)[nH]2)n1
H3D-003169,OC(=O)CCNC(=O)CCc1ccc(cc1)-c1ccc(cc1)Cl,2018/02/26,AMI,O=C(O)CCNC(=O)CCc1ccc(-c2ccc(Cl)cc2)cc1
H3D-003170,OC(=O)c1ccccc1NC(=O)CNc1ccc(cc1)OC(F)(F)F,2018/02/26,AMI,O=C(CNc1ccc(OC(F)(F)F)cc1)Nc1ccccc1C(=O)O
H3D-003171,OC(=O)C1CCCC1NC(=O)CCc1ccc(cc1)-c1ccc(cc1)Cl,2018/02/26,AMI,O=C(CCc1ccc(-c2ccc(Cl)cc2)cc1)NC1CCCC1C(=O)O
H3D-003172,OC(=O)c1ccccc1NC(=O)COc1ccc(cc1)OC(F)(F)F,2018/02/26,AMI,O=C(COc1ccc(OC(F)(F)F)cc1)Nc1ccccc1C(=O)O
H3D-003188,OC(=O)c1ccccc1NC(=O)CNCc1ccc(nc1)C(F)(F)F,2018/02/26,AMI,O=C(CNCc1ccc(C(F)(F)F)nc1)Nc1ccccc1C(=O)O
H3D-003187,OC(=O)c1ccccc1NC(=O)CNc1cccc(c1)F,2018/02/26,AMI,O=C(CNc1cccc(F)c1)Nc1ccccc1C(=O)O
H3D-003186,OC(=O)c1ccccc1NC(=O)CNc1ccccc1OC(F)(F)F,2018/02/26,AMI,O=C(CNc1ccccc1OC(F)(F)F)Nc1ccccc1C(=O)O
H3D-003185,CCOC(=O)c1ccccc1NC(=O)CNc1cccc(c1)F,2018/02/26,AMI,CCOC(=O)c1ccccc1NC(=O)CNc1cccc(F)c1
H3D-003184,OC(=O)c1ccccc1NC(=O)CNc1ccccc1Br,2018/02/26,AMI,O=C(CNc1ccccc1Br)Nc1ccccc1C(=O)O
H3D-003183,OC(=O)c1ccccc1NC(=O)CNc1cccc(c1)Br,2018/02/26,AMI,O=C(CNc1cccc(Br)c1)Nc1ccccc1C(=O)O
H3D-003182,OC(=O)c1ccccc1NC(=O)CNc1cccc(c1)OC(F)(F)F,2018/02/26,AMI,O=C(CNc1cccc(OC(F)(F)F)c1)Nc1ccccc1C(=O)O
H3D-003190,COC(=O)c1ccc(nn1)Oc1ccc2nc(sc2c1)C,2018/02/26,GSK12,COC(=O)c1ccc(Oc2ccc3nc(C)sc3c2)nn1
H3D-003181,OC(=O)c1ccccc1NC(=O)CNc1ccccc1C(F)(F)F,2018/02/26,AMI,O=C(CNc1ccccc1C(F)(F)F)Nc1ccccc1C(=O)O
H3D-003179,OC(=O)c1ccccc1NC(=O)CNc1cccc(c1)OC(F)F,2018/02/26,AMI,O=C(CNc1cccc(OC(F)F)c1)Nc1ccccc1C(=O)O
H3D-003178,OC(=O)c1ccccc1NC(=O)CNc1ccccc1F,2018/02/26,AMI,O=C(CNc1ccccc1F)Nc1ccccc1C(=O)O
H3D-003177,OC(=O)c1ccccc1NC(=O)CNc1cccc(c1)C(F)(F)F,2018/02/26,AMI,O=C(CNc1cccc(C(F)(F)F)c1)Nc1ccccc1C(=O)O
H3D-003176,OC(=O)c1ccccc1NC(=O)CNc1ccccc1Cl,2018/02/26,AMI,O=C(CNc1ccccc1Cl)Nc1ccccc1C(=O)O
H3D-003175,OC(=O)c1ccccc1NC(=O)CNc1cccc(c1)Cl,2018/02/26,AMI,O=C(CNc1cccc(Cl)c1)Nc1ccccc1C(=O)O
H3D-003174,OC(=O)c1ccccc1NC(=O)CNc1ccc(cc1)Cl,2018/02/26,AMI,O=C(CNc1ccc(Cl)cc1)Nc1ccccc1C(=O)O
H3D-003173,OC(=O)c1ccccc1NC(=O)CCc1ccc(cc1)Oc1ccc(cc1)Cl,2018/02/26,AMI,O=C(CCc1ccc(Oc2ccc(Cl)cc2)cc1)Nc1ccccc1C(=O)O
H3D-003180,OC(=O)c1ccccc1NC(=O)CNc1ccc(cc1)OC(F)F,2018/02/26,AMI,O=C(CNc1ccc(OC(F)F)cc1)Nc1ccccc1C(=O)O
H3D-003153,CC1=C(N=C(NC1=O)n1nc(cc1C)C)c1ccccc1,2018/02/26,TBMMV57,Cc1cc(C)n(-c2nc(-c3ccccc3)c(C)c(=O)[nH]2)n1
H3D-003229,NS(=O)(=O)c1cncc(c1)-c1ccc2nccc(c2n1)-c1ccc(cc1)C#N,2018/02/26,Compound III,N#Cc1ccc(-c2ccnc3ccc(-c4cncc(S(N)(=O)=O)c4)nc23)cc1
H3D-003231,CS(=O)(=O)NC(=O)CCc1cn(nc1-c1ccc(cc1)Cl)-c1ccc(cc1)Br,2018/02/26,TBDup8,CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1
H3D-003284,CN(Cc1ccc(nc1)C(F)(F)F)c1cc(ncn1)C(=O)Nc1ccc(cn1)C(F)(F)F,2018/02/26,SFK41,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(C(F)(F)F)cn2)ncn1
H3D-003283,CN(Cc1ccc(nc1)C(F)(F)F)c1cc(ncn1)C(=O)Nc1ccc(nc1)C(F)(F)F,2018/02/26,SFK41,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(C(F)(F)F)nc2)ncn1
H3D-003282,CN(Cc1ccc(cc1)F)c1cc(ncn1)-c1nc2ccccc2[nH]1,2018/02/26,SFK41,CN(Cc1ccc(F)cc1)c1cc(-c2nc3ccccc3[nH]2)ncn1
H3D-003281,CN(Cc1ccc(nc1)C(F)(F)F)c1cc(ncn1)C(=O)Nc1ccc(cc1)F,2018/02/26,SFK41,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(F)cc2)ncn1
H3D-003280,CN(Cc1ccc(nc1)C(F)(F)F)c1cc(ncn1)C(=O)Nc1ccc(cc1)OC(F)(F)F,2018/02/26,SFK41,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(OC(F)(F)F)cc2)ncn1
H3D-003279,CN(Cc1ccc(nc1)C(F)(F)F)c1cc(ncn1)C(=O)Nc1ccc(cc1)-c1nnn[nH]1,2018/02/26,SFK41,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(-c3nnn[nH]3)cc2)ncn1
H3D-003278,CN(Cc1ccc(nc1)C(F)(F)F)c1cc(ncn1)C(=O)Nc1ccc(cn1)CN,2018/02/26,SFK41,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(CN)cn2)ncn1
H3D-003277,CN(Cc1ccc(nc1)C(F)(F)F)c1cc(ncn1)C(=O)NN,2018/02/26,SFK41,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)NN)ncn1
H3D-003276,CN(Cc1ccc(cc1)F)c1cc(ncn1)C(=O)NN,2018/02/26,SFK41,CN(Cc1ccc(F)cc1)c1cc(C(=O)NN)ncn1
H3D-003275,CCN(C)c1cc(nn1C1=NC(=CC(=O)N1)C)C,2018/02/26,TBMMV57,CCN(C)c1cc(C)nn1-c1nc(C)cc(=O)[nH]1
H3D-003274,OC(=O)c1ccccc1NC(=O)CN1CCC(CC1)NC(=O)c1ccc(cc1)C#N,2018/02/26,AMI,N#Cc1ccc(C(=O)NC2CCN(CC(=O)Nc3ccccc3C(=O)O)CC2)cc1
H3D-003273,OC(=O)c1ccccc1NC(=O)CNC1CCC(F)(F)CC1,2018/02/26,AMI,O=C(CNC1CCC(F)(F)CC1)Nc1ccccc1C(=O)O
H3D-003272,OC(=O)c1ccccc1NC(F)(F)c1ccc(cc1)Br,2018/02/26,AMI,O=C(O)c1ccccc1NC(F)(F)c1ccc(Br)cc1
H3D-003271,OC(=O)c1ccccc1NC(=O)C(F)(F)c1ccc(cc1)F,2018/02/26,AMI,O=C(O)c1ccccc1NC(=O)C(F)(F)c1ccc(F)cc1
H3D-003285,CN(Cc1ccc(nc1)C(F)(F)F)c1cc(ncn1)C(=O)Nc1ccc(cn1)C#N,2018/02/26,SFK41,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(C#N)cn2)ncn1
H3D-003286,CN(Cc1ccc(nc1)C(F)(F)F)c1cc(ncn1)C(=O)Nc1ccc(cn1)F,2018/02/26,SFK41,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(F)cn2)ncn1
H3D-003287,CN(Cc1ccc(nc1)C(F)(F)F)c1cc(ncn1)C(=O)Nc1ccc(cn1)N1CCOCC1,2018/02/26,SFK41,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(N3CCOCC3)cn2)ncn1
H3D-003288,CN(Cc1ccc(nc1)C(F)(F)F)c1cc(ncn1)C(=O)Nc1ccc(cc1)N1CCOC1=O,2018/02/26,SFK41,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(N3CCOC3=O)cc2)ncn1
H3D-003304,O=C(NC1CCN(CC1)c1ncncc1-c1ccncc1)c1cccnc1,2018/02/26,Compound IV,O=C(NC1CCN(c2ncncc2-c2ccncc2)CC1)c1cccnc1
H3D-003303,CN(C)C(=O)c1ccc(cc1)C1=CC(=O)NC(=N1)n1nc(cc1C)C,2018/02/26,TBMMV57,Cc1cc(C)n(-c2nc(-c3ccc(C(=O)N(C)C)cc3)cc(=O)[nH]2)n1
H3D-003302,CC(=O)NC1CCN(C1)c1nc(nc2c1CCCC2)NCCc1ccccc1,2018/02/26,THQ,CC(=O)NC1CCN(c2nc(NCCc3ccccc3)nc3c2CCCC3)C1
H3D-003301,CN(C)CCN(C)c1cc(nc(n1)NCc1ccc2c(c1)OCO2)-c1ccc(cc1)C#N,2018/02/26,THQ,CN(C)CCN(C)c1cc(-c2ccc(C#N)cc2)nc(NCc2ccc3c(c2)OCO3)n1
H3D-003300,CN(CCO)c1cc(nc(n1)NCc1ccc2c(c1)OCO2)-c1ccc(cc1)C#N,2018/02/26,THQ,CN(CCO)c1cc(-c2ccc(C#N)cc2)nc(NCc2ccc3c(c2)OCO3)n1
H3D-003299,NC1CCN(C1)c1cc(nc(n1)NCc1cccnc1)-c1ccc(cc1)C#N,2018/02/26,THQ,N#Cc1ccc(-c2cc(N3CCC(N)C3)nc(NCc3cccnc3)n2)cc1
