ID,smiles,activity
H3D-000001,CCCCN(C)c1c(C)nc2c(OCC3CCCCC3)cccn12,1
H3D-003207,COCCC(=O)N1CCN(c2nc(NCCc3ccccc3)nc3c2CCCC3)CC1,1
H3D-003206,Cc1cc(C)n(-c2nc(C(F)(F)F)cc(=O)[nH]2)n1,1
H3D-003205,NC(=O)c1ccc(-c2cc(N3CCCC3)nc(NCc3ccc(Cl)c(Cl)c3)n2)cc1,1
H3D-003204,c1ccc(CCNc2nc(C3CCNCC3)cc(N3CCCC3)n2)cc1,1
H3D-003203,N#Cc1cccc(CNc2nc3c(c(N4CCCC4)n2)CCCC3)c1,1
H3D-003202,c1csc(CNc2nc3c(c(N4CCCC4)n2)CCCC3)n1,1
H3D-003201,O=C(O)c1ccccc1NC(=O)C1CCCN(Cc2ccc(F)cc2)C1,1
H3D-003200,O=C(O)c1ccccc1NC(=O)C1CCN(Cc2ccc(F)cc2)C1,1
H3D-003199,COC(=O)c1ccc(Oc2ccc(C(F)(F)F)cc2F)nn1,1
H3D-003198,COC(=O)c1ccc(Oc2ccc(-c3csc(C)n3)c(F)c2)nn1,1
H3D-003197,COC(=O)c1ccc(Oc2ccc(-c3csc(C)n3)cc2F)nc1,1
H3D-003196,Cc1ccc(Oc2ccc(-c3csc(C)n3)cc2F)nn1,1
H3D-003195,Cc1nc(-c2ccc(Oc3ccc(C#N)nn3)c(F)c2)cs1,1
H3D-003194,Cc1noc(-c2ccc(Oc3ccc(-c4csc(C)n4)cc3F)nn2)n1,1
H3D-003193,Cc1nc(-c2ccc(Oc3ccc(C(=O)N(C)C)nn3)c(F)c2)cs1,1
H3D-003208,Cc1cc(C)n(-c2nc(C(=O)O)cc(=O)[nH]2)n1,1
H3D-003209,O=C(CN1CCN(c2ccncc2)CC1)Nc1ccccc1C(=O)O,1
H3D-003210,O=C(CNc1ccc(Br)cc1)N1CCC(O)c2ccccc21,1
H3D-003211,Cc1cc(C)n(-c2nc(C(=O)Nc3ccncc3)cc(=O)[nH]2)n1,1
H3D-003227,Cc1cc(C)n(-c2nc(N3CCN(C(=O)c4ccccc4)CC3)cc(=O)[nH]2)n1,1
H3D-003226,Cc1cc(=O)[nH]c(-n2nc(-c3ccccc3)cc2C)n1,1
H3D-003225,Cc1nc(C)n(-c2nc(-c3ccccc3)cc(=O)[nH]2)n1,1
H3D-003224,Oc1nc(-c2ccccc2)cc(-n2cccn2)n1,1
H3D-003223,O=c1cc(-c2ccccc2)nc(-n2cccn2)[nH]1,1
H3D-003222,CN(CCO)c1cc(-c2ccccc2)nc(NCc2ccc3c(c2)OCO3)n1,1
H3D-003221,CN(CCO)c1cc(-c2ccc(C#N)cc2)nc(NCc2ccc(Cl)cc2)n1,1
H3D-003192,COC(=O)c1ccc(Oc2ccc(C)cc2F)nn1,1
H3D-003220,Cc1cncc(CNc2nc(-c3ccc(C#N)cc3)cc(N3CCCC3)n2)c1,1
H3D-003218,CN(CCO)c1cc(-c2ccc(C#N)cc2)nc(NCc2ccc(Cl)c(Cl)c2)n1,1
H3D-003217,O=C(c1ccnc(Nc2cc3[nH]c(-c4ccc(F)c(C(F)(F)F)c4)nc3cn2)c1)N1CCNCC1,1
H3D-003216,Cc1cc(C)n(-c2nc(C(=O)N(C)C)cc(=O)[nH]2)n1,1
H3D-003215,NCCCOc1ccnc(Nc2cc3[nH]c(-c4ccc(F)c(C(F)(F)F)c4)nc3cn2)c1,1
H3D-003214,Cc1cc(C)n(-c2nc(C(=O)NC3CCCCC3)cc(=O)[nH]2)n1,1
H3D-003213,O=C(CNC1CCc2ccccc2C1)Nc1ccccc1C(=O)O,1
H3D-003212,O=C(CNC1CCc2ccccc21)Nc1ccccc1C(=O)O,1
H3D-003219,CN(C)CCC(=O)N1CCN(c2nc(NCCc3ccccc3)nc3c2CCCC3)CC1,1
H3D-003228,NS(=O)(=O)c1cccc(-c2ccc3nccc(-c4ccc(C(F)(F)F)cc4)c3n2)c1,1
H3D-003191,COC(=O)c1ccc(Oc2ccc(C(F)(F)F)cc2)nn1,1
H3D-003189,COC(=O)c1ccc(Oc2ccc3sc(C)nc3c2)nn1,1
H3D-003168,O=C(Nc1ccccc1C(=O)O)c1ccc(Br)cc1,1
H3D-003167,O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccc(Cl)cc2)cc1,1
H3D-003166,CCOC(=O)c1ccccc1NC(=O)CNc1ccc(Br)cc1,1
H3D-003165,O=c1[nH]nc(CCc2cn(-c3ccc(Br)cc3)nc2-c2ccc(Cl)cc2)o1,1
H3D-003164,Clc1ccc(-c2nn(-c3ccc(Br)cc3)cc2CCc2nnn[nH]2)cc1,1
H3D-003163,O=c1[nH]c(CCc2cn(-c3ccc(Br)cc3)nc2-c2ccc(Cl)cc2)no1,1
H3D-003162,CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Cl)cc2)nc1-c1ccc(Cl)cc1,1
H3D-003161,CC(=O)NS(=O)(=O)CCc1cn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1,1
H3D-003160,CS(=O)(=O)NC(=O)CCc1cn(-c2ccncc2)nc1-c1ccc(Cl)cc1,1
H3D-003159,CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1-c1ccncc1,1
H3D-003158,CS(=O)(=O)NC(=O)CCCc1cn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1,1
H3D-003157,CS(=O)(=O)NC(=O)CCc1nn(-c2ccc(Br)cc2)cc1-c1ccc(Cl)cc1,1
H3D-003156,CS(=O)(=O)NC(=O)CCc1cc(-c2ccc(Br)cc2)n(-c2ccc(Cl)cc2)n1,1
H3D-003155,FC(F)(F)c1cc(N2CCCC2)nc(NCCc2ccccc2)n1,1
H3D-003154,Cc1cc(C)n(-c2nc(C(=O)N(C)c3ccc(F)cc3)cc(=O)[nH]2)n1,1
H3D-003169,O=C(O)CCNC(=O)CCc1ccc(-c2ccc(Cl)cc2)cc1,1
H3D-003170,O=C(CNc1ccc(OC(F)(F)F)cc1)Nc1ccccc1C(=O)O,1
H3D-003171,O=C(CCc1ccc(-c2ccc(Cl)cc2)cc1)NC1CCCC1C(=O)O,1
H3D-003172,O=C(COc1ccc(OC(F)(F)F)cc1)Nc1ccccc1C(=O)O,1
H3D-003188,O=C(CNCc1ccc(C(F)(F)F)nc1)Nc1ccccc1C(=O)O,1
H3D-003187,O=C(CNc1cccc(F)c1)Nc1ccccc1C(=O)O,1
H3D-003186,O=C(CNc1ccccc1OC(F)(F)F)Nc1ccccc1C(=O)O,1
H3D-003185,CCOC(=O)c1ccccc1NC(=O)CNc1cccc(F)c1,1
H3D-003184,O=C(CNc1ccccc1Br)Nc1ccccc1C(=O)O,1
H3D-003183,O=C(CNc1cccc(Br)c1)Nc1ccccc1C(=O)O,1
H3D-003182,O=C(CNc1cccc(OC(F)(F)F)c1)Nc1ccccc1C(=O)O,1
H3D-003190,COC(=O)c1ccc(Oc2ccc3nc(C)sc3c2)nn1,1
H3D-003181,O=C(CNc1ccccc1C(F)(F)F)Nc1ccccc1C(=O)O,1
H3D-003179,O=C(CNc1cccc(OC(F)F)c1)Nc1ccccc1C(=O)O,1
H3D-003178,O=C(CNc1ccccc1F)Nc1ccccc1C(=O)O,1
H3D-003177,O=C(CNc1cccc(C(F)(F)F)c1)Nc1ccccc1C(=O)O,1
H3D-003176,O=C(CNc1ccccc1Cl)Nc1ccccc1C(=O)O,1
H3D-003175,O=C(CNc1cccc(Cl)c1)Nc1ccccc1C(=O)O,1
H3D-003174,O=C(CNc1ccc(Cl)cc1)Nc1ccccc1C(=O)O,1
H3D-003173,O=C(CCc1ccc(Oc2ccc(Cl)cc2)cc1)Nc1ccccc1C(=O)O,1
H3D-003180,O=C(CNc1ccc(OC(F)F)cc1)Nc1ccccc1C(=O)O,1
H3D-003153,Cc1cc(C)n(-c2nc(-c3ccccc3)c(C)c(=O)[nH]2)n1,1
H3D-003229,N#Cc1ccc(-c2ccnc3ccc(-c4cncc(S(N)(=O)=O)c4)nc23)cc1,1
H3D-003231,CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1,1
H3D-003284,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(C(F)(F)F)cn2)ncn1,1
H3D-003283,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(C(F)(F)F)nc2)ncn1,1
H3D-003282,CN(Cc1ccc(F)cc1)c1cc(-c2nc3ccccc3[nH]2)ncn1,1
H3D-003281,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(F)cc2)ncn1,1
H3D-003280,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(OC(F)(F)F)cc2)ncn1,1
H3D-003279,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(-c3nnn[nH]3)cc2)ncn1,1
H3D-003278,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(CN)cn2)ncn1,1
H3D-003277,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)NN)ncn1,1
H3D-003276,CN(Cc1ccc(F)cc1)c1cc(C(=O)NN)ncn1,1
H3D-003275,CCN(C)c1cc(C)nn1-c1nc(C)cc(=O)[nH]1,1
H3D-003274,N#Cc1ccc(C(=O)NC2CCN(CC(=O)Nc3ccccc3C(=O)O)CC2)cc1,1
H3D-003273,O=C(CNC1CCC(F)(F)CC1)Nc1ccccc1C(=O)O,1
H3D-003272,O=C(O)c1ccccc1NC(F)(F)c1ccc(Br)cc1,1
H3D-003271,O=C(O)c1ccccc1NC(=O)C(F)(F)c1ccc(F)cc1,1
H3D-003285,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(C#N)cn2)ncn1,1
H3D-003286,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(F)cn2)ncn1,1
H3D-003287,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(N3CCOCC3)cn2)ncn1,1
H3D-003288,CN(Cc1ccc(C(F)(F)F)nc1)c1cc(C(=O)Nc2ccc(N3CCOC3=O)cc2)ncn1,1
H3D-003304,O=C(NC1CCN(c2ncncc2-c2ccncc2)CC1)c1cccnc1,1
H3D-003303,Cc1cc(C)n(-c2nc(-c3ccc(C(=O)N(C)C)cc3)cc(=O)[nH]2)n1,1
H3D-003302,CC(=O)NC1CCN(c2nc(NCCc3ccccc3)nc3c2CCCC3)C1,1
H3D-003301,CN(C)CCN(C)c1cc(-c2ccc(C#N)cc2)nc(NCc2ccc3c(c2)OCO3)n1,1
H3D-003300,CN(CCO)c1cc(-c2ccc(C#N)cc2)nc(NCc2ccc3c(c2)OCO3)n1,1
H3D-003299,N#Cc1ccc(-c2cc(N3CCC(N)C3)nc(NCc3cccnc3)n2)cc1,1
H3D-003298,N#Cc1ccc(-c2cc(N3CCC(N)C3)nc(NCc3ccc4c(c3)OCO4)n2)cc1,1
H3D-003270,NS(=O)(=O)c1cccc(-c2ccc3nccc(-c4ccncc4)c3n2)c1,1
H3D-003297,NC1CCN(c2nc(NCCc3ccccc3)nc3c2CCCC3)CC1,1
H3D-003295,Clc1ccc2c(c1)nc(N1CCOCC1)n2Cc1ccccc1,1
H3D-003294,Cc1cc(-c2ccccc2)nn1-c1nc(C(F)(F)F)cc(=O)[nH]1,1
H3D-003293,O=c1cc(-c2ccc(N3CCOCC3)nc2)nc(-c2ccc(N3CCOCC3)cc2)[nH]1,1
H3D-003292,O=c1cc(-c2ccccc2)nc(O)[nH]1,1
H3D-003291,CS(=O)(=O)Nc1cccc(-c2ccc3nccc(-c4ccncc4)c3n2)c1,1
H3D-003290,O=C(CN1CCC(NC(=O)c2ccc(F)c(F)c2)CC1)Nc1ccccc1C(=O)O,1
H3D-003289,N#Cc1ccnc(Nc2cc3[nH]c(C4CCC(F)(F)CC4)nc3cn2)c1,1
H3D-003296,c1ccc(Cn2c(N3CCNCC3)nc3cccnc32)cc1,1
H3D-003230,NS(=O)(=O)c1cncc(-c2ccc3nccc(-c4ccc(OC(F)(F)F)cc4)c3n2)c1,1
H3D-003269,CS(=O)(=O)c1cccc(-c2ccc3nccc(-c4ccncc4)c3n2)c1,1
H3D-003267,CCNc1cc(C)nn1-c1nc(-c2ccncc2)cc(=O)[nH]1,1
H3D-003246,CC(C)(C)OC(=O)N1CCN(CCNc2nccc3[nH]c(-c4ccc(F)c(F)c4)nc23)CC1,1
H3D-003245,NC1CCN(c2nccc3[nH]c(-c4ccc(F)c(F)c4)nc23)C1,1
H3D-003244,Fc1ccc(-c2nc3c(NC4CCC(F)(F)CC4)nccc3[nH]2)cc1F,1
