Series	SMILES	IC50	Source
Penzo	FC1=CC=C(C2=C(C3=NC(N)=NC=C3)N(C4CCNCC4)C=N2)C=C1	0.066	literature 
Penzo	CC(C)SC1=NC(C2=CC=C(OC)C=C2)=C(C3=CC=NC=C3)N1	0.002	literature 
Penzo	CC(CNS(C)(=O)=O)(C)C1=NC(C2=CC=C(Cl)C(O)=C2)=C(C3=CC=NC=C3)N1	0.009	literature 
Penzo	CC(NS(C)(=O)=O)(C)C1=NC(C2=CC=C(Cl)C(O)=C2)=C(C3=CC=NC=C3)N1	0.006	literature 
Penzo	CC(C1=NC(C2=CC=C(Cl)C(O)=C2)=C(C3=CC=NC=C3)N1)(C)CNCC4=NC=CS4	0.011	literature 
Penzo	O=S(C1=COC=C1)(NC2=CC=CC(C3=C(C4=CC=NC(N)=N4)NC(C5CCOCC5)=N3)=C2F)=O	0.005	literature 
Penzo	OC(C(C=C1)=CC=C1C2=NC(C3=CC=CC(O)=C3)=C(C4=CC=NC=C4)N2)=O	0.051	literature 
Penzo	FC1=CC=C(C2=C(C3=CC=NC(N)=N3)N([C@H]4CC[C@H](O)CC4)C=N2)C=C1	0.08	literature 
Penzo	ClC1=CC=C(C=C1O)C2=C(C3=CC=NC=C3)NC(C(C)(C)CNC(C)=O)=N2	0.002	literature 
Penzo	ClC1=CC=C(C=C1O)C2=C(C3=CC=NC=C3)NC(C(C)(C)NC(C4=CC=CN=C4)=O)=N2	0.075	literature 
Penzo	CC(CNCC1CCN(CCOC)CC1)(C)C2=NC(C3=CC=C(Cl)C(O)=C3)=C(C4=CC=NC=C4)N2	0.02	literature 
Penzo	CC(CN1CCCCC1)(C)C2=NC(C3=NC(N)=NC=C3)=C(C4=CC=C(Cl)C(O)=C4)N2	0.014	literature 
Penzo	CC(CN)(C)C1=NC(C2=CC=C(Cl)C(OC)=C2)=C(C3=CC=NC=C3)N1	0.002	literature 
Penzo	CC(C)C1=NC(C2=CC=NC(NCCO)=N2)=C(C3=CC(C(F)(F)F)=CC=C3)N1	0.251	literature 
Penzo	OC(C(C=C1)=CC=C1C2=NC(C3=CC=C(F)C=C3)=C(C4=CC=NC=C4)N2)=O	0.122	literature 
Penzo	CC(C)C[C@@H](CO)N1C(C2=CC=NC(NC)=N2)=C(C3=CC=C(F)C=C3)N=C1	0.26	literature 
Penzo	NCC(C)(C)C1=NC(C2=CC=C(Cl)C(Cl)=C2)=C(C3=CC=NC=C3)N1	0.008	literature 
Penzo	CC(C1=NC(C2=CC=C(Cl)C(Cl)=C2)=C(C3=CC=NC=C3)N1)(C)C(N4CCCC4)=O	0.05	literature 
Penzo	BrC1=C(C=C(O)C=C1)C(N=C(C2=CC=C(CN)C=C2)N3)=C3C4=CC=NC=C4	0.006	literature 
Penzo	FC1=CC=C(C=C1)C2=C(C3=CC=NC=C3)NC(C4=C(S(C)=O)C=CC=C4)=N2	0.011	literature 
Penzo	FC(F)(F)C1=CC=C(C=C1)C2=C(C3=CC=NC=C3)N(CC4CC4)C=N2	0.479	literature 
Penzo	N#CC(C=C1)=CC=C1C2=NC(C3=CC=NC=C3)=C(C4=CC=CC=N4)N2	0.989	literature 
Penzo	N#CC(C=C1)=CC=C1C2=NC(C3=CC=NC=C3)=C(C4=CC=NC=C4)N2	0.617	literature 
Penzo	CCN1C=C(C2=CC=NC=N2)C(C3=CC(NS(C4=C(F)C=CC(F)=C4)(=O)=O)=CC=C3)=N1	0.041	literature 
Penzo	NC1=C(C2=CC3=C(OCO3)C=C2)C(C4=CC=NC=C4)=NN1	0.072	literature 
Penzo	CC(C)(C)CN1N=C(C2=CC=C3SC=NC3=C2)C(C(N)=O)=C1N	0.094	literature 
Penzo	OC(C1=CC=CN=C1)C2=CC3=CC=C(C4=NN(CC)C(NC)=C4C(N)=O)C=C3N2	0.053	literature 
Penzo	FC(F)(F)C1=CC(C2=NNC=C2C3=CC=NC=C3)=CC=C1	0.023	literature 
Penzo	OCC1=CC2=C(C3=CC=NC=C3)C(C4=CC=C(F)C=C4)=NN2C=C1	0.072	literature 
Penzo	NC(C1=C(N)N(C(C)(C)C)N=C1C2=CC=C(OC)C=C2)=O	0.254	literature 
Penzo	CC(CO)NC1=NC=CC(C(C(C2=CC=CC=C2)=N3)=C4N3CCOC4)=N1	0.363	literature 
Penzo	C1(C2=CNN=C2C3=CC=CN=C3)=CC=NC=C1	0.733	literature 
Penzo	COC1=CC=C(C=C1)C2=NNC=C2C3=CC=NC=N3	0.272	literature 
Penzo	FC1=CC=C(C(F)=C1)N(C(N)=C2C(N)=O)N=C2C3=CC=C4OCOC4=C3	0.398	literature 
Penzo	NC(C1=C(NCC(C)C)NN=C1C(C=C2)=CC3=C2SC=N3)=O	0.417	literature 
Penzo	CC(COC1=CC=C(C2=NN(C(C)CC)C(NC)=C2C(N)=O)C=C1)C	0.457	literature 
Penzo	CC(C)(C)N1C(N)=C(C(N)=O)C(C2=CC3=C(C=CN3)C=C2)=N1	0.209	literature 
Penzo	NC(C1=C(N(C2=CC=CC(F)=C2)N=C1C3=CC4=C(SC=N4)C=C3)NC)=O	0.432	literature 
Penzo	OC(C1=CC=CC(C2=NN3C(C=CC=C3)=C2C4=CC=NC=C4)=C1)=O	0.468	literature 
Penzo	NC1=NC(C2=C(F)C(NS(C3=C(F)C=CC=C3F)(=O)=O)=CC=C2)=C(C4=CC=NC(N)=N4)S1	0.068	literature 
Penzo	NC(CC1=NC(C2=CC=CC=C2)=C(C3=NC(NC4=C(C)C=CC(S(C)(=O)=O)=C4)=NC=C3)S1)=O	0.013	literature 
Penzo	CC(C)(C)C1=NC(C2=C(F)C(NS(CC(F)(F)F)(=O)=O)=CC=C2)=C(C3=NC(N)=NC=C3)S1	0.032	literature 
Penzo	FC1=CC=C(C2=C(C3=NC(N[C@@H]4CC[C@@H](O)CC4)=NC=C3)SC(C5CCOCC5)=N2)C=C1F	0.068	literature 
Penzo	CC(C)C1=NC(C2=CC(NC3COCC3)=CC=C2)=C(C4=CC=NC(N)=N4)S1	0.025	literature 
Penzo	CC(CN)(C)C1=CC(C2=CC(O)=C(Cl)C=C2)=C(C3=CC=NC=C3)O1	0.002	literature 
Penzo	NS(C1=CC=CC(C2=C(C3=CC=NC=C3)OC(C4=CC=C(OCCN(C)C)C=C4)=C2)=C1)(=O)=O	0.003	literature 
Penzo	CN(CCNC(C1=CC(C2=CC(O)=CC=C2)=C(C3=CC=NC=C3)O1)=O)C	0.162	literature 
Penzo	CN1CCC(N(CC2=C3C(N=C(C4=NON=C4N)N3CC)=C(C5=CC=CC=C5)N=C2)C)CC1	0.039	literature 
Penzo	NCCCNC1=NC(C2=CC=CC=C2)=C3C(N(CNC4=NON=C45)C5=N3)=C1	0.079	literature 
Penzo	NC1=NON=C1C2=NC3=C(C4=CNC=C4)N=CC(OCC5CCNCC5)=C3N2CC	0.022	literature 
Penzo	CNS(C1=CC=CC(NC2=NC(NC3=CC=CC(S(NC)(=O)=O)=C3)=NC=C2)=C1)(=O)=O	0.07	literature 
Penzo	CNS(C(C=C1)=CC=C1NC2=NC(NC3=C4C(NN=C4)=CC=C3)=CC=N2)(=O)=O	0.082	literature 
