FORMATTED_ID,Series,smiles,H3D Batch Number,Enzyme,activity,RESULT_DATE,COMPLETED_DATE
H3D-000352,SFK52,CC(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C,H3D-000352-02,PvPI4KB,0.000508,2021/05/24,2021/06/04
H3D-000352,SFK52,CC(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C,H3D-000352-02,PvPI4KB,0.000598,2021/05/31,2022/02/18
H3D-000352,SFK52,CC(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C,H3D-000352-02,PvPI4KB,0.000992,2022/04/12,2022/04/20
H3D-000358,SFK52,CN1CCN(CC1)C(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)C,H3D-000358-02,PvPI4KB,0.0017,2019/10/16,2021/11/08
H3D-000358,SFK52,CN1CCN(CC1)C(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)C,H3D-000358-02,PvPI4KB,0.00168,2021/11/24,2021/11/25
H3D-000358,SFK52,CN1CCN(CC1)C(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)C,H3D-000358-02,PvPI4KB,0.00175,2021/11/24,2021/11/25
H3D-000359,SFK52,CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)NC1CC1,H3D-000359-02,PvPI4KB,0.000508,2021/05/24,2021/05/27
H3D-000359,SFK52,CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)NC1CC1,H3D-000359-02,PvPI4KB,0.000508,2021/05/24,2021/06/04
H3D-000369,SFK52,CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)NS(=O)(=O)C1CC1,H3D-000369-02,PvPI4KB,0.00149,2022/09/09,2022/09/09
H3D-000369,SFK52,CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)NS(=O)(=O)C1CC1,H3D-000369-02,PvPI4KB,0.000142,2022/11/07,2022/11/07
