smiles,activity
CC1=NN(c2nc(-c3ccccc3)cc(=O)[nH]2)C(=O)C1,1
O=C(c1cccc(-c2ccncc2)c1)c1cnn(-c2ccc(F)cc2)c1Cl,1
O=C(c1cccc(-c2ccncc2)c1)c1cnn(-c2ccc(F)cc2)c1,1
Nc1c(C(=O)c2cccc(C3CCNCC3)c2)cnn1-c1ccc(F)cc1,1
O=C(CCc1cn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1)NS(=O)(=O)c1ccccc1,1
O=C(CCc1cn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1)NCc1ccccc1,1
CN(Cc1ccccc1)C(=O)CCc1cn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1,1
Cc1cc(C)n(-c2nc(N)cc(=O)[nH]2)n1,1
Cc1cc(C)n(-c2nc(-c3cccnc3)cc(=O)[nH]2)n1,1
CC(=O)Nc1cc(=O)[nH]c(-n2nc(C)cc2C)n1,1
CS(=O)(=O)N1CCC(c2cccc(C(=O)c3cnn(-c4ccc(F)cc4)c3N)c2)CC1,1
CCNc1cc(C)nn1-c1nc(C)cc(=O)[nH]1,1
FC(F)(F)Oc1ccc(-c2cc3ccncc3cc2OC2CCNCC2)cc1,1
Cc1cc(=S)[nH]c(-n2nc(C)cc2Nc2ccc(F)cc2)n1,1
Nc1nc(-c2ccccc2)cc(=O)[nH]1,1
Cc1cc(=O)[nH]c(-n2nc(C)cc2Nc2ccc(F)cc2)n1,1
Nc1cc(-c2ccccc2)nn1-c1nc(-c2ccccc2)cc(=O)[nH]1,1
Nc1cc(C2CC2)nn1-c1nc(-c2ccccc2)cc(=O)[nH]1,1
Cc1cc(C)n(-c2nc3c(c(=O)[nH]2)CCC3)n1,1
Cc1cc(C)n(-c2nc3c(c(=O)[nH]2)CCCC3)n1,1
Cc1cc(C)n(-c2nc3c(ccn3C)c(=O)[nH]2)n1,1
Cc1cc(C)n(-c2nc(-c3ccccc3)cc(=S)[nH]2)n1,1
Cc1cc(C)n(-c2nc(-c3ccccc3)cc(=O)[nH]2)n1,1
CC(C)n1ncc(C(=O)c2cccc(-c3ccncc3)c2)c1N,1
Cc1cc(C)n(-c2nc(OCc3ccccc3)cc(C(=O)O)n2)n1,1
Nc1c(C(=O)c2cccc(-c3ccncc3)c2)cnn1-c1ccncc1,1
Nc1c(C(O)c2cccc(-c3ccncc3)c2)cnn1-c1ccc(F)cc1,1
Fc1ccc(-n2ncc3c(-c4cccc(-c5ccncc5)c4)ncnc32)cc1,1
Cc1nn(-c2ccc(F)cc2)c(O)c1C(=O)c1cccc(-c2ccncc2)c1,1
Nc1c(C(=O)c2cccc(C#Cc3ccncc3)c2)cnn1-c1ccc(F)cc1,1
C=C(c1cccc(-c2ccncc2)c1)c1cnn(-c2ccc(F)cc2)c1NC(=O)OC(C)(C)C,1
C/C(CC(=O)Nc1cccnc1)=N/Nc1nc(C)cc(=O)[nH]1,1
Cc1cc(C)n(-c2nc3ccccc3c(=O)[nH]2)n1,1
Cc1cc(=O)[nH]c(-n2nc(C(C)(C)C)cc2N)n1,1
O=C(O)c1cc(-n2cccn2)nc(-n2cccn2)n1,1
Cc1cc(=O)[nH]c(-n2nc(-c3ccncc3)cc2N)n1,1
Cc1cc(=O)[nH]c(-n2nc(C3CC3)cc2N)n1,1
Cc1cc(=O)[nH]c(-n2nc(C)cc2Nc2ccccn2)n1,1
Cc1cc(C)n(-c2cc(-c3ccccc3)[nH]c(=O)n2)n1,1
CS(=O)(=O)NC(=O)CCc1nn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1,1
CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1-c1cccnc1,1
CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(C(F)(F)F)cc2)nc1-c1ccc(Cl)cc1,1
CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1C1CCOCC1,1
CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1C1CCNCC1,1
CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1C1CCN(C=O)CC1,1
CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1-c1ccco1,1
Cc1cc(C)n(-c2nc(N3CCCCC3)cc(=O)[nH]2)n1,1
CCNc1cc(C)nn1-c1nc(-c2ccncc2)cc(=O)[nH]1,1
CCN(C)c1cc(C)nn1-c1nc(C)cc(=O)[nH]1,1
Cc1cc(C)n(-c2nc(C(F)(F)F)cc(=O)[nH]2)n1,1
Cc1cc(C)n(-c2nc(C(=O)O)cc(=O)[nH]2)n1,1
Cc1cc(C)n(-c2nc(C(=O)Nc3ccncc3)cc(=O)[nH]2)n1,1
Cc1cc(C)n(-c2nc(C(=O)NC3CCCCC3)cc(=O)[nH]2)n1,1
Cc1cc(C)n(-c2nc(C(=O)N(C)C)cc(=O)[nH]2)n1,1
O=c1cc(-c2ccccc2)nc(-n2cccn2)[nH]1,1
Oc1nc(-c2ccccc2)cc(-n2cccn2)n1,1
Cc1cc(=O)[nH]c(-n2nc(-c3ccccc3)cc2C)n1,1
Cc1cc(C)n(-c2nc(N3CCN(C(=O)c4ccccc4)CC3)cc(=O)[nH]2)n1,1
CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1,1
