ID,smiles,CREATION_DATE,Series,Project,CAN_SMILES
H3D-002897,CC1=NN(C(=O)C1)C1=NC(=CC(=O)N1)c1ccccc1,26 02 2018,TBMMV57,BMGF,CC1=NN(c2nc(-c3ccccc3)cc(=O)[nH]2)C(=O)C1
H3D-002908,Fc1ccc(cc1)-n1ncc(c1Cl)C(=O)c1cccc(c1)-c1ccncc1,26 02 2018,Aminopyrazole,BMGF,O=C(c1cccc(-c2ccncc2)c1)c1cnn(-c2ccc(F)cc2)c1Cl
H3D-002909,Fc1ccc(cc1)-n1cc(cn1)C(=O)c1cccc(c1)-c1ccncc1,26 02 2018,Aminopyrazole,BMGF,O=C(c1cccc(-c2ccncc2)c1)c1cnn(-c2ccc(F)cc2)c1
H3D-002910,Nc1c(cnn1-c1ccc(cc1)F)C(=O)c1cccc(c1)C1CCNCC1,26 02 2018,Aminopyrazole,BMGF,Nc1c(C(=O)c2cccc(C3CCNCC3)c2)cnn1-c1ccc(F)cc1
H3D-002912,Clc1ccc(cc1)-c1nn(cc1CCC(=O)NS(=O)(=O)c1ccccc1)-c1ccc(cc1)Br,26 02 2018,TBDup8,BMGF,O=C(CCc1cn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1)NS(=O)(=O)c1ccccc1
H3D-002913,Clc1ccc(cc1)-c1nn(cc1CCC(=O)NCc1ccccc1)-c1ccc(cc1)Br,26 02 2018,TBDup8,BMGF,O=C(CCc1cn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1)NCc1ccccc1
H3D-002914,CN(Cc1ccccc1)C(=O)CCc1cn(nc1-c1ccc(cc1)Cl)-c1ccc(cc1)Br,26 02 2018,TBDup8,BMGF,CN(Cc1ccccc1)C(=O)CCc1cn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1
H3D-002915,Cc1cc(n(n1)C1=NC(=CC(=O)N1)N)C,26 02 2018,TBMMV57,BMGF,Cc1cc(C)n(-c2nc(N)cc(=O)[nH]2)n1
H3D-002916,Cc1cc(n(n1)C1=NC(=CC(=O)N1)c1cccnc1)C,26 02 2018,TBMMV57,BMGF,Cc1cc(C)n(-c2nc(-c3cccnc3)cc(=O)[nH]2)n1
H3D-002917,CC(=O)NC1=CC(=O)NC(=N1)n1nc(cc1C)C,26 02 2018,TBMMV57,BMGF,CC(=O)Nc1cc(=O)[nH]c(-n2nc(C)cc2C)n1
H3D-002911,CS(=O)(=O)N1CCC(CC1)c1cccc(c1)C(=O)c1cnn(c1N)-c1ccc(cc1)F,26 02 2018,Aminopyrazole,BMGF,CS(=O)(=O)N1CCC(c2cccc(C(=O)c3cnn(-c4ccc(F)cc4)c3N)c2)CC1
H3D-002890,CCNc1cc(nn1C1=NC(=CC(=O)N1)C)C,26 02 2018,TBMMV57,BMGF,CCNc1cc(C)nn1-c1nc(C)cc(=O)[nH]1
H3D-002889,FC(F)(F)Oc1ccc(cc1)-c1cc2ccncc2cc1OC1CCNCC1,26 02 2018,GSK04,BMGF,FC(F)(F)Oc1ccc(-c2cc3ccncc3cc2OC2CCNCC2)cc1
H3D-002982,CC1=CC(=S)NC(=N1)n1nc(cc1Nc1ccc(cc1)F)C,26 02 2018,TBMMV57,BMGF,Cc1cc(=S)[nH]c(-n2nc(C)cc2Nc2ccc(F)cc2)n1
H3D-002983,NC1=NC(=CC(=O)N1)c1ccccc1,26 02 2018,TBMMV57,BMGF,Nc1nc(-c2ccccc2)cc(=O)[nH]1
H3D-002984,CC1=CC(=O)NC(=N1)n1nc(cc1Nc1ccc(cc1)F)C,26 02 2018,TBMMV57,BMGF,Cc1cc(=O)[nH]c(-n2nc(C)cc2Nc2ccc(F)cc2)n1
H3D-002985,Nc1cc(nn1C1=NC(=CC(=O)N1)c1ccccc1)-c1ccccc1,26 02 2018,TBMMV57,BMGF,Nc1cc(-c2ccccc2)nn1-c1nc(-c2ccccc2)cc(=O)[nH]1
H3D-002986,Nc1cc(nn1C1=NC(=CC(=O)N1)c1ccccc1)C1CC1,26 02 2018,TBMMV57,BMGF,Nc1cc(C2CC2)nn1-c1nc(-c2ccccc2)cc(=O)[nH]1
H3D-002987,Cc1cc(n(n1)C1=NC2=C(CCC2)C(=O)N1)C,26 02 2018,TBMMV57,BMGF,Cc1cc(C)n(-c2nc3c(c(=O)[nH]2)CCC3)n1
H3D-002988,Cc1cc(n(n1)C1=NC2=C(CCCC2)C(=O)N1)C,26 02 2018,TBMMV57,BMGF,Cc1cc(C)n(-c2nc3c(c(=O)[nH]2)CCCC3)n1
H3D-002989,Cc1cc(n(n1)C1=Nc2c(ccn2C)C(=O)N1)C,26 02 2018,TBMMV57,BMGF,Cc1cc(C)n(-c2nc3c(ccn3C)c(=O)[nH]2)n1
H3D-002990,Cc1cc(n(n1)C1=NC(=CC(=S)N1)c1ccccc1)C,26 02 2018,TBMMV57,BMGF,Cc1cc(C)n(-c2nc(-c3ccccc3)cc(=S)[nH]2)n1
H3D-002991,Cc1cc(n(n1)C1=NC(=CC(=O)N1)c1ccccc1)C,26 02 2018,TBMMV57,BMGF,Cc1cc(C)n(-c2nc(-c3ccccc3)cc(=O)[nH]2)n1
H3D-002992,CC(C)n1ncc(c1N)C(=O)c1cccc(c1)-c1ccncc1,26 02 2018,Aminopyrazole,BMGF,CC(C)n1ncc(C(=O)c2cccc(-c3ccncc3)c2)c1N
H3D-002981,Cc1cc(n(n1)-c1nc(cc(n1)C(=O)O)OCc1ccccc1)C,26 02 2018,TBMMV57,BMGF,Cc1cc(C)n(-c2nc(OCc3ccccc3)cc(C(=O)O)n2)n1
H3D-002994,Nc1c(cnn1-c1ccncc1)C(=O)c1cccc(c1)-c1ccncc1,26 02 2018,Aminopyrazole,BMGF,Nc1c(C(=O)c2cccc(-c3ccncc3)c2)cnn1-c1ccncc1
H3D-002996,Nc1c(cnn1-c1ccc(cc1)F)C(O)c1cccc(c1)-c1ccncc1,26 02 2018,Aminopyrazole,BMGF,Nc1c(C(O)c2cccc(-c3ccncc3)c2)cnn1-c1ccc(F)cc1
H3D-002997,Fc1ccc(cc1)-n1ncc2c(ncnc12)-c1cccc(c1)-c1ccncc1,26 02 2018,Aminopyrazole,BMGF,Fc1ccc(-n2ncc3c(-c4cccc(-c5ccncc5)c4)ncnc32)cc1
H3D-002998,Cc1nn(c(c1C(=O)c1cccc(c1)-c1ccncc1)O)-c1ccc(cc1)F,26 02 2018,Aminopyrazole,BMGF,Cc1nn(-c2ccc(F)cc2)c(O)c1C(=O)c1cccc(-c2ccncc2)c1
H3D-002999,Nc1c(cnn1-c1ccc(cc1)F)C(=O)c1cccc(c1)C#Cc1ccncc1,26 02 2018,Aminopyrazole,BMGF,Nc1c(C(=O)c2cccc(C#Cc3ccncc3)c2)cnn1-c1ccc(F)cc1
H3D-002995,CC(C)(C)OC(=O)Nc1c(cnn1-c1ccc(cc1)F)C(=C)c1cccc(c1)-c1ccncc1,26 02 2018,Aminopyrazole,BMGF,C=C(c1cccc(-c2ccncc2)c1)c1cnn(-c2ccc(F)cc2)c1NC(=O)OC(C)(C)C
H3D-002980,C/C(=N/NC1=NC(=CC(=O)N1)C)CC(=O)Nc1cccnc1,26 02 2018,TBMMV57,BMGF,C/C(CC(=O)Nc1cccnc1)=N/Nc1nc(C)cc(=O)[nH]1
H3D-002979,Cc1cc(n(n1)C1=Nc2ccccc2C(=O)N1)C,26 02 2018,TBMMV57,BMGF,Cc1cc(C)n(-c2nc3ccccc3c(=O)[nH]2)n1
H3D-002978,CC1=CC(=O)NC(=N1)n1nc(cc1N)C(C)(C)C,26 02 2018,TBMMV57,BMGF,Cc1cc(=O)[nH]c(-n2nc(C(C)(C)C)cc2N)n1
H3D-002975,OC(=O)c1cc(nc(n1)-n1cccn1)-n1cccn1,26 02 2018,TBMMV57,BMGF,O=C(O)c1cc(-n2cccn2)nc(-n2cccn2)n1
H3D-002976,CC1=CC(=O)NC(=N1)n1nc(cc1N)-c1ccncc1,26 02 2018,TBMMV57,BMGF,Cc1cc(=O)[nH]c(-n2nc(-c3ccncc3)cc2N)n1
H3D-002977,CC1=CC(=O)NC(=N1)n1nc(cc1N)C1CC1,26 02 2018,TBMMV57,BMGF,Cc1cc(=O)[nH]c(-n2nc(C3CC3)cc2N)n1
H3D-002763,CC1=CC(=O)NC(=N1)n1nc(cc1Nc1ccccn1)C,26 02 2018,TBMMV57,BMGF,Cc1cc(=O)[nH]c(-n2nc(C)cc2Nc2ccccn2)n1
H3D-002764,Cc1cc(n(n1)C1=NC(=O)NC(=C1)c1ccccc1)C,26 02 2018,TBMMV57,BMGF,Cc1cc(C)n(-c2cc(-c3ccccc3)[nH]c(=O)n2)n1
H3D-003252,CS(=O)(=O)NC(=O)CCc1nn(nc1-c1ccc(cc1)Cl)-c1ccc(cc1)Br,26 02 2018,TBDup8,BMGF,CS(=O)(=O)NC(=O)CCc1nn(-c2ccc(Br)cc2)nc1-c1ccc(Cl)cc1
H3D-003253,CS(=O)(=O)NC(=O)CCc1cn(nc1-c1cccnc1)-c1ccc(cc1)Br,26 02 2018,TBDup8,BMGF,CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1-c1cccnc1
H3D-003254,CS(=O)(=O)NC(=O)CCc1cn(nc1-c1ccc(cc1)Cl)-c1ccc(cc1)C(F)(F)F,26 02 2018,TBDup8,BMGF,CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(C(F)(F)F)cc2)nc1-c1ccc(Cl)cc1
H3D-003255,CS(=O)(=O)NC(=O)CCc1cn(nc1C1CCOCC1)-c1ccc(cc1)Br,26 02 2018,TBDup8,BMGF,CS(=O)(=O)NC(=O)CCc1cn(-c2ccc(Br)cc2)nc1C1CCOCC1
