model,num_train,num_test,num_train_0,num_train_1,num_test_0,num_test_1,auroc,aupr,cutoff,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,f1_score,mcc,precision_at_1,precision_at_5,precision_at_10,precision_at_50,precision_at_100
pooled,453,453,0,0,0,0,0.998332854268468,0.9936753205197822,0.4,95,351,4,3,0.9845474613686535,0.9790600747341189,0.9595959595959596,0.9693877551020408,0.9644670050761421,0.9546143524762075,1.0,1.0,1.0,1.0,0.95
kerastuner_estimators-eos7w6n,453,453,0,0,0,0,0.8821356711698763,0.7316697764651672,0.55,72,311,44,26,0.8454746136865342,0.8053751077895948,0.6206896551724138,0.7346938775510204,0.6728971962616822,0.5761650336757335,1.0,1.0,1.0,0.82,0.64
kerastuner_estimators-eos2gw4,453,453,0,0,0,0,0.7968956596723196,0.5677309063222964,0.3,69,278,77,29,0.7660044150110376,0.7435901121011785,0.4726027397260274,0.7040816326530612,0.5655737704918032,0.4292114012154508,1.0,1.0,0.8,0.7,0.51
kerastuner_estimators-eos4u6p,453,453,0,0,0,0,0.7660822075308996,0.5281613411413115,0.3,51,302,53,47,0.7792494481236203,0.6855561943087094,0.49038461538461536,0.5204081632653061,0.504950495049505,0.3633316939250325,1.0,1.0,0.9,0.6,0.49
kerastuner_estimators-eos78ao,453,453,0,0,0,0,0.9915061799367635,0.9732026698603423,0.3,93,344,11,5,0.9646799116997793,0.9589968381718885,0.8942307692307693,0.9489795918367347,0.9207920792079208,0.8987471387873722,1.0,1.0,1.0,1.0,0.9
kerastuner_estimators-eos39co,453,453,0,0,0,0,0.9631503305547571,0.8791212787243863,0.2,82,334,21,16,0.9183222958057395,0.8887898821500431,0.7961165048543689,0.8367346938775511,0.8159203980099502,0.7638701333925864,1.0,0.8,0.9,0.94,0.81
kerastuner_estimators-eos5axz,453,453,0,0,0,0,0.9509772923253808,0.9381362795613248,0.4,87,346,9,11,0.9558498896247241,0.93120149468238,0.90625,0.8877551020408163,0.8969072164948454,0.868895890186464,1.0,1.0,1.0,1.0,0.88
flaml_estimators-eos7w6n,453,453,0,0,0,0,0.8034923828686404,0.5771111135176774,0.35,46,331,24,52,0.8322295805739515,0.7008910606496119,0.6571428571428571,0.46938775510204084,0.5476190476190477,0.4576878828602971,1.0,0.6,0.7,0.7,0.55
flaml_estimators-eos2gw4,453,453,0,0,0,0,0.9199338890485772,0.824647503058075,0.2,86,309,46,12,0.8719646799116998,0.8739867778097155,0.6515151515151515,0.8775510204081632,0.7478260869565218,0.6777569447606309,1.0,1.0,1.0,0.92,0.71
flaml_estimators-eos4u6p,453,453,0,0,0,0,0.8158810002874389,0.5752731200997828,0.3,57,316,39,41,0.8233995584988962,0.7358867490658235,0.59375,0.5816326530612245,0.5876288659793815,0.4753254089801164,1.0,0.8,0.6,0.68,0.58
flaml_estimators-eos78ao,453,453,0,0,0,0,0.9961626904282841,0.9867902072883015,0.35,94,348,7,4,0.9757174392935982,0.9697326818051164,0.9306930693069307,0.9591836734693877,0.9447236180904522,0.9293428646079235,1.0,1.0,1.0,1.0,0.93
flaml_estimators-eos39co,453,453,0,0,0,0,1.0,1.0,0.05,98,355,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98
flaml_estimators-eos5axz,453,453,0,0,0,0,0.808565679793044,0.5977676992127162,0.2,69,284,71,29,0.7792494481236203,0.7520408163265306,0.4928571428571429,0.7040816326530612,0.5798319327731093,0.44915051397543604,1.0,1.0,0.8,0.7,0.55
