smiles,activity
CC(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C,0.000508
CC(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C,0.000598
CC(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)C,0.000992
CN1CCN(CC1)C(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)C,0.0017
CN1CCN(CC1)C(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)C,0.00168
CN1CCN(CC1)C(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccc(cc1)S(=O)(=O)C,0.00175
CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)NC1CC1,0.000508
CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)S(=O)(=O)NC1CC1,0.000508
CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)NS(=O)(=O)C1CC1,0.00149
CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)NS(=O)(=O)C1CC1,0.000142
CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N1CCNCC1,0.000478
CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N1CCNCC1,0.00024
CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N1CCCCC1,0.0011
CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N1CCCCC1,0.000287
CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)N1CCCCC1,0.00019
COc1ccc(cc1OC)-c1cnc2ccc(nn12)-c1cccnc1,0.000963
COc1ccc(cc1OC)-c1cnc2ccc(nn12)-c1cccnc1,0.000462
CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccncc1,0.00201
CS(=O)(=O)c1cccc(c1)-c1ccc2ncc(n2n1)-c1ccncc1,0.0021
CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)NCCO,0.00146
CS(=O)(=O)c1ccc(cc1)-c1cnc2ccc(nn12)-c1cccc(c1)C(=O)NCCO,0.00116
